Campaign_ID,Customer_ID,Source,Medium,New_Users
52,CUST2577,Facebook,Email,0
44,CUST3713,YouTube,Referral,0
32,CUST4824,Instagram,Email,1
31,CUST2690,Google,Direct,1
49,CUST2816,Facebook,Social,1
38,CUST2208,YouTube,Referral,1
53,CUST1119,Instagram,Email,0
26,CUST1373,Instagram,Organic,0
7,CUST0648,Google,Direct,1
48,CUST2978,Google,Organic,1
22,CUST0896,Google,Email,0
32,CUST0803,Facebook,Email,0
1,CUST3895,YouTube,Organic,0
44,CUST0914,YouTube,Referral,1
39,CUST2727,Facebook,Referral,1
24,CUST1890,Google,Direct,0
23,CUST4911,Instagram,Email,1
54,CUST1844,Facebook,Paid,1
21,CUST0452,YouTube,Organic,1
35,CUST2076,Facebook,Social,0
16,CUST2090,Google,Direct,0
33,CUST1450,Instagram,Social,0
41,CUST0842,Google,Organic,0
8,CUST2560,Instagram,Referral,0
42,CUST3491,Google,Paid,0
7,CUST3003,Facebook,Organic,0
56,CUST3887,Facebook,Email,0
15,CUST4466,Google,Direct,0
35,CUST2398,YouTube,Organic,1
53,CUST0446,Google,Direct,0
35,CUST3394,Instagram,Social,1
53,CUST4495,YouTube,Paid,0
58,CUST1039,Google,Direct,0
51,CUST1675,Facebook,Social,1
1,CUST3230,Instagram,Paid,0
15,CUST4959,Facebook,Social,1
28,CUST1927,Facebook,Paid,0
7,CUST2260,Facebook,Social,0
18,CUST1192,Instagram,Referral,0
52,CUST1028,Instagram,Paid,0
32,CUST2709,Google,Direct,1
3,CUST0870,YouTube,Social,1
21,CUST4572,Facebook,Paid,1
57,CUST4688,Facebook,Email,0
18,CUST2221,Google,Email,1
55,CUST2060,Facebook,Social,0
52,CUST0397,Google,Referral,0
34,CUST0088,Facebook,Email,1
10,CUST2316,Facebook,Email,0
8,CUST3192,YouTube,Referral,0
42,CUST4162,Facebook,Social,1
18,CUST3211,Instagram,Social,0
2,CUST0096,Instagram,Paid,0
53,CUST0149,Facebook,Referral,1
30,CUST4313,Google,Direct,1
6,CUST2859,Google,Direct,1
41,CUST0049,Instagram,Email,0
59,CUST3809,Facebook,Email,0
21,CUST1331,Instagram,Email,0
26,CUST1048,Facebook,Paid,1
37,CUST0878,Google,Social,1
2,CUST4938,Facebook,Email,0
59,CUST0177,Instagram,Organic,1
22,CUST1812,YouTube,Referral,0
29,CUST4309,Facebook,Email,0
31,CUST4049,Facebook,Organic,1
33,CUST4610,YouTube,Email,1
36,CUST0789,Facebook,Paid,1
37,CUST1185,Facebook,Email,0
16,CUST4652,Facebook,Organic,0
10,CUST1885,Google,Direct,0
44,CUST3034,Instagram,Social,1
42,CUST1487,Google,Direct,0
29,CUST4005,YouTube,Referral,0
24,CUST4294,Google,Paid,0
32,CUST3428,Google,Direct,0
19,CUST3235,Instagram,Paid,0
42,CUST3718,Facebook,Referral,1
19,CUST2543,Google,Paid,0
36,CUST2014,Instagram,Email,0
50,CUST2620,Instagram,Social,0
53,CUST0500,Google,Direct,0
59,CUST1785,Google,Referral,1
46,CUST2167,Google,Social,1
44,CUST1584,Facebook,Paid,0
4,CUST1487,Google,Organic,0
37,CUST0242,Google,Direct,1
40,CUST3326,Google,Social,0
55,CUST1619,Google,Organic,1
57,CUST3712,YouTube,Referral,0
27,CUST2136,Google,Social,0
7,CUST4530,Google,Paid,1
16,CUST4695,Google,Email,1
46,CUST2335,Instagram,Referral,1
14,CUST4073,YouTube,Paid,1
37,CUST3595,Google,Organic,1
41,CUST1552,Google,Direct,1
57,CUST4386,Instagram,Email,1
12,CUST1433,Instagram,Social,0
31,CUST3747,Facebook,Organic,0
1,CUST4499,Google,Direct,1
38,CUST4457,Facebook,Organic,1
37,CUST0585,Facebook,Paid,1
30,CUST1743,Google,Email,0
57,CUST3671,Facebook,Organic,0
3,CUST4936,Facebook,Referral,1
58,CUST3948,Google,Direct,0
9,CUST0357,Google,Direct,1
1,CUST1253,Google,Email,0
54,CUST1467,YouTube,Social,0
45,CUST2603,Google,Paid,0
15,CUST2665,Instagram,Organic,1
51,CUST2719,Google,Paid,0
1,CUST2542,Google,Paid,1
34,CUST4755,Google,Direct,1
58,CUST0653,Instagram,Referral,1
5,CUST4820,YouTube,Paid,1
54,CUST2085,Facebook,Social,0
48,CUST3950,Google,Direct,0
56,CUST4900,Google,Direct,1
17,CUST2126,Instagram,Social,0
14,CUST2843,YouTube,Social,0
24,CUST1863,Instagram,Referral,1
13,CUST1079,Facebook,Paid,0
49,CUST3537,YouTube,Referral,1
20,CUST4412,Google,Organic,0
46,CUST1161,Google,Direct,1
20,CUST2470,Facebook,Referral,0
24,CUST0252,YouTube,Organic,1
26,CUST0205,Google,Social,1
6,CUST2308,Google,Direct,1
24,CUST2220,Google,Direct,0
53,CUST4587,Facebook,Organic,1
55,CUST2883,YouTube,Referral,0
9,CUST0681,Instagram,Social,1
22,CUST1348,Facebook,Social,1
6,CUST3272,Google,Direct,0
47,CUST0940,Instagram,Email,0
59,CUST3539,Google,Organic,0
55,CUST2413,Facebook,Organic,0
59,CUST4319,Google,Direct,1
22,CUST1665,Instagram,Organic,1
57,CUST4174,YouTube,Social,0
10,CUST4628,Facebook,Referral,0
57,CUST2908,Google,Email,0
49,CUST3844,Google,Email,1
9,CUST2668,Facebook,Email,1
20,CUST2895,YouTube,Organic,0
53,CUST2141,Instagram,Email,1
59,CUST2867,YouTube,Email,0
52,CUST0847,Facebook,Referral,0
5,CUST2947,Facebook,Referral,1
48,CUST2882,Google,Paid,1
32,CUST3280,Google,Organic,0
29,CUST1315,Google,Direct,1
43,CUST3497,Facebook,Social,1
7,CUST2140,Facebook,Organic,1
4,CUST0012,Google,Direct,0
54,CUST3350,Google,Direct,1
2,CUST4207,Google,Direct,0
26,CUST4051,YouTube,Social,1
44,CUST4646,YouTube,Paid,0
55,CUST2890,Facebook,Organic,1
33,CUST3111,Instagram,Organic,0
26,CUST4748,Google,Direct,0
49,CUST1115,YouTube,Organic,0
8,CUST0071,Google,Email,1
2,CUST1150,Google,Social,0
28,CUST4284,Google,Direct,1
28,CUST1932,YouTube,Email,1
8,CUST1503,Instagram,Social,1
1,CUST3735,Instagram,Referral,0
59,CUST0599,Google,Referral,0
19,CUST0822,Instagram,Social,1
16,CUST4192,Google,Direct,0
30,CUST0416,Google,Paid,1
11,CUST0067,Facebook,Social,1
29,CUST1669,Instagram,Referral,0
18,CUST3443,Instagram,Social,1
57,CUST3384,YouTube,Referral,1
13,CUST1747,Google,Direct,1
10,CUST1449,Google,Referral,1
48,CUST1447,Google,Social,0
19,CUST3814,Facebook,Email,1
54,CUST4027,Google,Referral,0
52,CUST3609,Instagram,Referral,1
16,CUST2248,Google,Direct,1
18,CUST4967,YouTube,Referral,1
59,CUST2883,Facebook,Email,0
30,CUST1078,Google,Direct,0
21,CUST1937,Facebook,Social,0
44,CUST0099,Facebook,Referral,1
7,CUST0038,YouTube,Email,0
12,CUST3504,Instagram,Paid,0
11,CUST0309,Google,Organic,0
26,CUST4377,Facebook,Referral,0
25,CUST4590,Google,Direct,0
17,CUST1817,Instagram,Organic,0
33,CUST2502,Instagram,Email,0
44,CUST3982,Instagram,Paid,1
60,CUST0396,Google,Paid,0
35,CUST2257,Facebook,Email,0
1,CUST4374,Facebook,Referral,1
36,CUST2349,Instagram,Paid,0
60,CUST4272,Facebook,Paid,0
25,CUST0185,YouTube,Referral,0
6,CUST4509,Instagram,Organic,0
30,CUST4746,Facebook,Email,1
27,CUST0420,Google,Email,0
60,CUST0765,YouTube,Referral,1
49,CUST3372,Facebook,Referral,1
23,CUST1251,Google,Email,0
33,CUST1286,Facebook,Organic,0
16,CUST0750,Google,Social,0
37,CUST0525,Facebook,Organic,0
12,CUST1914,YouTube,Organic,1
12,CUST3201,YouTube,Email,1
58,CUST0021,Google,Referral,1
32,CUST3029,Google,Referral,1
26,CUST1070,Instagram,Email,1
25,CUST4528,Instagram,Referral,0
50,CUST4207,YouTube,Referral,0
32,CUST4614,Google,Direct,0
51,CUST2011,Instagram,Organic,1
6,CUST1726,Facebook,Paid,0
40,CUST1323,Facebook,Email,1
8,CUST1208,Instagram,Email,0
50,CUST0023,Instagram,Organic,1
43,CUST3338,Facebook,Organic,1
38,CUST3998,Instagram,Social,1
27,CUST1793,Facebook,Email,0
3,CUST1027,YouTube,Paid,1
12,CUST0821,Facebook,Paid,1
11,CUST1396,Google,Direct,1
21,CUST3794,YouTube,Organic,1
23,CUST2719,Instagram,Referral,0
59,CUST2654,Google,Social,0
22,CUST3203,Google,Direct,0
38,CUST0360,Google,Direct,1
46,CUST2129,Google,Email,1
46,CUST3856,Google,Paid,1
33,CUST2245,Instagram,Email,1
36,CUST2476,Facebook,Referral,1
44,CUST0507,Google,Direct,1
11,CUST1605,YouTube,Social,0
37,CUST1763,Instagram,Referral,1
27,CUST4719,YouTube,Organic,0
22,CUST0475,Facebook,Organic,0
30,CUST0336,YouTube,Social,1
20,CUST0797,Google,Direct,1
16,CUST2445,Google,Direct,0
6,CUST1593,Google,Organic,1
46,CUST1232,Facebook,Social,1
42,CUST3168,Instagram,Social,1
18,CUST4081,Instagram,Organic,0
33,CUST3687,YouTube,Paid,0
4,CUST4693,Facebook,Organic,1
42,CUST2283,YouTube,Paid,0
17,CUST2348,Facebook,Organic,0
16,CUST1525,Facebook,Organic,1
3,CUST2888,Google,Direct,0
12,CUST3994,Google,Direct,0
29,CUST0987,Facebook,Social,0
58,CUST0404,Google,Paid,0
13,CUST1470,Google,Direct,0
3,CUST1571,Google,Direct,1
3,CUST1413,YouTube,Referral,0
