Company_ID,Customer_ID,OS,Device_Type,Event_Name,Event_Value,Event_Count,Session_Duration,Session_Number
CMP006,CUST2396,Web,Mobile,add_to_wishlist,2,3,535,8
CMP002,CUST0727,Android,Mobile,view_item,1,7,1693,4
CMP002,CUST0591,Web,Mobile,begin_checkout,5,6,1412,1
CMP003,CUST3362,iOS,Mobile,share,3,2,418,18
CMP001,CUST1873,iOS,Mobile,login,1,1,1185,8
CMP004,CUST0748,iOS,Mobile,click_promotion,4,7,1027,9
CMP004,CUST4751,Web,Tablet,view_item,1,1,88,14
CMP005,CUST0785,Android,Mobile,click_promotion,4,8,228,20
CMP004,CUST1488,Web,Desktop,share,3,10,1128,10
CMP006,CUST1566,Web,Mobile,begin_checkout,5,2,1573,7
CMP004,CUST1005,Android,Tablet,view_item,1,1,1037,13
CMP006,CUST0241,Android,Tablet,purchase,7,6,1453,19
CMP006,CUST1170,Android,Tablet,search,2,10,1685,7
CMP005,CUST3039,iOS,Tablet,click_promotion,4,6,454,9
CMP003,CUST3328,Android,Tablet,share,3,7,1438,2
CMP006,CUST1356,iOS,Mobile,login,1,9,908,4
CMP006,CUST1648,Web,Desktop,sign_up,4,5,860,12
CMP004,CUST0720,Web,Tablet,remove_from_cart,0,5,756,14
CMP002,CUST4330,Web,Desktop,begin_checkout,5,2,852,2
CMP001,CUST0312,Web,Mobile,begin_checkout,5,5,1418,4
CMP005,CUST2810,iOS,Mobile,purchase,7,7,1558,8
CMP005,CUST0692,Android,Tablet,login,1,1,1389,13
CMP003,CUST0296,Web,Desktop,add_payment_info,6,5,1363,19
CMP005,CUST1600,iOS,Tablet,remove_from_cart,0,9,322,9
CMP005,CUST0775,iOS,Mobile,add_to_cart,3,9,306,6
CMP002,CUST0047,Web,Mobile,click_promotion,4,8,1762,16
CMP001,CUST0543,iOS,Tablet,view_item,1,6,1753,11
CMP005,CUST1727,Android,Tablet,remove_from_cart,0,6,1261,7
CMP004,CUST2787,Web,Desktop,remove_from_cart,0,3,523,12
CMP004,CUST3209,Web,Tablet,view_item,1,7,334,8
CMP002,CUST3910,Android,Mobile,purchase,7,4,1625,5
CMP002,CUST3237,Web,Mobile,add_to_cart,3,1,542,2
CMP003,CUST3950,Android,Tablet,add_to_cart,3,6,1426,8
CMP004,CUST0183,Android,Tablet,remove_from_cart,0,10,1633,18
CMP003,CUST4476,Android,Mobile,view_item,1,8,1367,8
CMP006,CUST3498,iOS,Mobile,click_promotion,4,3,918,2
CMP002,CUST3179,iOS,Tablet,view_item,1,3,1443,17
CMP002,CUST4202,iOS,Tablet,search,2,10,1499,12
CMP004,CUST1306,Web,Tablet,begin_checkout,5,4,610,10
CMP005,CUST1729,Web,Mobile,remove_from_cart,0,9,1200,6
CMP001,CUST4916,Android,Tablet,add_to_cart,3,5,1181,10
CMP001,CUST2428,iOS,Tablet,add_to_cart,3,8,1667,11
CMP001,CUST3418,Web,Desktop,purchase,7,9,1779,2
CMP005,CUST4942,Android,Tablet,purchase,7,2,1082,2
CMP003,CUST4137,Web,Mobile,add_to_wishlist,2,4,389,3
CMP002,CUST3329,Web,Mobile,view_item,1,7,283,6
