Transaction_ID,Customer_ID,Product_ID,Transaction_Date,Total_Price,Quantity,Payment_Method
TX0001_1,CUST0001,PRD002,2024-07-14,3196,4,Google Pay
TX0002_1,CUST0002,PRD031,2024-06-08,3597,3,Credit Card
TX0002_2,CUST0002,PRD033,2024-07-26,5996,4,Apple Pay
TX0002_3,CUST0002,PRD028,2024-06-22,1198,2,Apple Pay
TX0002_4,CUST0002,PRD013,2024-07-26,5196,4,Bank Transfer
TX0003_1,CUST0004,PRD020,2024-06-27,3996,4,Apple Pay
TX0003_2,CUST0004,PRD031,2024-06-11,5995,5,Credit Card
TX0003_3,CUST0004,PRD002,2024-06-08,3995,5,Bank Transfer
TX0003_4,CUST0004,PRD034,2024-07-31,1298,2,Google Pay
TX0003_5,CUST0004,PRD030,2024-07-13,2097,3,Credit Card
TX0004_1,CUST0005,PRD006,2024-07-19,996,4,Credit Card
TX0005_1,CUST0006,PRD021,2024-07-23,1996,4,Google Pay
TX0005_2,CUST0006,PRD027,2024-07-09,897,3,PayPal
TX0005_3,CUST0006,PRD025,2024-06-24,3596,4,Apple Pay
TX0005_4,CUST0006,PRD026,2024-06-17,2547,3,PayPal
TX0005_5,CUST0006,PRD029,2024-07-15,447,3,Cash
TX0006_1,CUST0008,PRD034,2024-06-23,1298,2,Google Pay
TX0006_2,CUST0008,PRD024,2024-07-13,716,4,Google Pay
TX0006_3,CUST0008,PRD034,2024-07-17,3245,5,PayPal
TX0006_4,CUST0008,PRD029,2024-07-20,149,1,Credit Card
TX0006_5,CUST0008,PRD026,2024-06-06,1698,2,Cash
TX0007_1,CUST0009,PRD005,2024-07-13,299,1,Apple Pay
TX0007_2,CUST0009,PRD023,2024-07-15,4197,3,Apple Pay
TX0007_3,CUST0009,PRD017,2024-07-16,178,2,Apple Pay
TX0008_1,CUST0012,PRD023,2024-07-27,1399,1,Google Pay
TX0008_2,CUST0012,PRD002,2024-07-12,1598,2,Credit Card
TX0009_1,CUST0013,PRD006,2024-06-29,996,4,Credit Card
TX0010_1,CUST0014,PRD011,2024-07-01,995,5,Cash
TX0010_2,CUST0014,PRD023,2024-07-28,2798,2,Apple Pay
TX0010_3,CUST0014,PRD022,2024-07-15,1799,1,Apple Pay
TX0011_1,CUST0015,PRD002,2024-07-12,3995,5,Cash
TX0011_2,CUST0015,PRD005,2024-07-21,897,3,PayPal
TX0011_3,CUST0015,PRD036,2024-07-23,5495,5,Cash
TX0011_4,CUST0015,PRD003,2024-06-25,1797,3,Apple Pay
TX0012_1,CUST0016,PRD021,2024-06-12,998,2,Google Pay
TX0012_2,CUST0016,PRD008,2024-06-28,1798,2,Bank Transfer
TX0012_3,CUST0016,PRD015,2024-07-14,6995,5,PayPal
TX0013_1,CUST0017,PRD001,2024-06-28,4995,5,Credit Card
TX0013_2,CUST0017,PRD019,2024-07-30,1197,3,PayPal
TX0014_1,CUST0018,PRD020,2024-06-19,999,1,PayPal
TX0015_1,CUST0019,PRD024,2024-07-06,895,5,Credit Card
TX0015_2,CUST0019,PRD002,2024-07-15,1598,2,Credit Card
TX0015_3,CUST0019,PRD036,2024-07-14,2198,2,Credit Card
TX0016_1,CUST0021,PRD003,2024-07-13,1797,3,Credit Card
TX0016_2,CUST0021,PRD027,2024-07-23,299,1,Apple Pay
TX0016_3,CUST0021,PRD029,2024-07-17,745,5,Bank Transfer
TX0016_4,CUST0021,PRD012,2024-06-13,5996,4,Cash
TX0016_5,CUST0021,PRD004,2024-06-09,1999,1,Apple Pay
TX0017_1,CUST0022,PRD013,2024-06-10,5196,4,Apple Pay
TX0017_2,CUST0022,PRD011,2024-06-07,995,5,Bank Transfer
TX0017_3,CUST0022,PRD030,2024-07-27,2796,4,PayPal
TX0017_4,CUST0022,PRD007,2024-07-01,3996,4,Cash
TX0018_1,CUST0024,PRD032,2024-06-21,3196,4,Cash
