Transaction_ID,Customer_ID,Product_ID,Total_Price,Quantity,transaction_date,payment_method
TX0001_1,CUST0001,PRD002,3196,4,6/22/2024,Cash
TX0002_1,CUST0002,PRD031,3597,3,7/28/2024,Cash
TX0002_2,CUST0002,PRD033,5996,4,7/27/2024,Cash
TX0002_3,CUST0002,PRD028,1198,2,7/1/2024,Bank Transfer
TX0002_4,CUST0002,PRD013,5196,4,7/9/2024,Apple Pay
TX0003_1,CUST0004,PRD020,3996,4,7/8/2024,Apple Pay
TX0003_2,CUST0004,PRD031,5995,5,6/7/2024,PayPal
TX0003_3,CUST0004,PRD002,3995,5,7/12/2024,PayPal
TX0003_4,CUST0004,PRD034,1298,2,7/6/2024,Credit Card
TX0003_5,CUST0004,PRD030,2097,3,6/11/2024,Credit Card
TX0004_1,CUST0005,PRD006,996,4,6/25/2024,Apple Pay
TX0005_1,CUST0006,PRD021,1996,4,6/9/2024,Credit Card
TX0005_2,CUST0006,PRD027,897,3,7/4/2024,Cash
TX0005_3,CUST0006,PRD025,3596,4,7/18/2024,PayPal
TX0005_4,CUST0006,PRD026,2547,3,7/8/2024,Credit Card
TX0005_5,CUST0006,PRD029,447,3,7/16/2024,Apple Pay
TX0006_1,CUST0008,PRD034,1298,2,7/25/2024,Bank Transfer
TX0006_2,CUST0008,PRD024,716,4,6/13/2024,Bank Transfer
TX0006_3,CUST0008,PRD034,3245,5,6/27/2024,Cash
TX0006_4,CUST0008,PRD029,149,1,6/5/2024,Credit Card
TX0006_5,CUST0008,PRD026,1698,2,6/9/2024,Credit Card
TX0007_1,CUST0009,PRD005,299,1,6/12/2024,Cash
TX0007_2,CUST0009,PRD023,4197,3,6/3/2024,Cash
TX0007_3,CUST0009,PRD017,178,2,6/10/2024,Bank Transfer
TX0008_1,CUST0012,PRD023,1399,1,6/13/2024,PayPal
TX0008_2,CUST0012,PRD002,1598,2,6/11/2024,Apple Pay
TX0009_1,CUST0013,PRD006,996,4,6/3/2024,Bank Transfer
TX0010_1,CUST0014,PRD011,995,5,7/18/2024,Apple Pay
TX0010_2,CUST0014,PRD023,2798,2,6/15/2024,Bank Transfer
TX0010_3,CUST0014,PRD022,1799,1,7/27/2024,Credit Card
TX0011_1,CUST0015,PRD002,3995,5,6/22/2024,Credit Card
TX0011_2,CUST0015,PRD005,897,3,7/22/2024,Credit Card
TX0011_3,CUST0015,PRD036,5495,5,7/21/2024,Apple Pay
TX0011_4,CUST0015,PRD003,1797,3,6/30/2024,Apple Pay
TX0012_1,CUST0016,PRD021,998,2,6/5/2024,Credit Card
TX0012_2,CUST0016,PRD008,1798,2,6/29/2024,PayPal
TX0012_3,CUST0016,PRD015,6995,5,7/3/2024,Credit Card
TX0013_1,CUST0017,PRD001,4995,5,7/4/2024,PayPal
TX0013_2,CUST0017,PRD019,1197,3,6/2/2024,Credit Card
TX0014_1,CUST0018,PRD020,999,1,7/21/2024,PayPal
TX0015_1,CUST0019,PRD024,895,5,7/24/2024,PayPal
